,period,hour,Load Profile,price,year,scenario_price
131,5,11,345.0182445740618,685.464954871911,2040,low
132,5,12,287.36618444903513,560.7605340911184,2040,low
133,5,13,371.03129134027836,546.6110749677971,2040,low
134,5,14,411.53868457461454,529.3300955581562,2040,low
135,5,15,461.3525630243779,490.25208086307833,2040,low
136,5,16,488.84258868402395,510.8296758111151,2040,low
137,5,17,525.7236842534348,580.5343005168006,2040,low
138,5,18,571.2888084414826,619.869281114134,2040,low
139,5,19,1010.0751635740776,598.1174408524353,2040,low
140,5,20,725.3262121831033,448.70373239506927,2040,low
141,5,21,652.8653240340876,426.38685977288833,2040,low
142,5,22,629.6912866239638,405.09519202889913,2040,low
143,5,23,536.8303052714267,384.26317335894674,2040,low
144,6,0,1714.931796623679,708.7738044768859,2040,low
145,6,1,1697.901057533959,671.8021347080283,2040,low
146,6,2,1631.3391544479464,583.7492063608778,2040,low
147,6,3,1572.694021531484,482.207517614119,2040,low
148,6,4,1754.814947159082,635.515207218937,2040,low
149,6,5,1795.566653650818,781.4484421920758,2040,low
150,6,6,1839.4169922029848,910.845766832602,2040,low
151,6,7,1887.3871029264083,1162.803103133329,2040,low
152,6,8,1940.7739511342593,1341.6932601910369,2040,low
153,6,9,1977.9281927528057,1205.2820802737929,2040,low
154,6,10,2018.0871684905574,1127.7149530462966,2040,low
155,6,11,2137.278867633293,1102.2015637568177,2040,low
156,6,12,2047.6239396272083,1067.987287422911,2040,low
157,6,13,2216.892584549608,1033.5652598461286,2040,low
158,6,14,2322.2049942549934,992.0378629113297,2040,low
159,6,15,2575.612063136496,961.3303867422037,2040,low
160,6,16,2081.1455046446044,934.6584119457107,2040,low
161,6,17,1915.6621204778457,1047.7552353096366,2040,low
162,6,18,1861.4654025269267,1011.4108098864408,2040,low
163,6,19,1817.5857208681266,1084.6698299888615,2040,low
164,6,20,1776.211940515774,878.6957189389583,2040,low
165,6,21,1734.2747725160698,852.7930717098343,2040,low
166,6,22,1668.8220388607801,814.8087631329629,2040,low
167,6,23,1269.1689265210314,744.4650741732331,2040,low
168,7,0,1140.1596759679724,1609.6776420391382,2040,low
169,7,1,1104.409991053587,1499.8792982561313,2040,low
170,7,2,835.8827453586821,1418.8925934999763,2040,low
171,7,3,1168.498922319484,1148.2209065507695,2040,low
172,7,4,1268.5259864512534,1549.9808842048105,2040,low
173,7,5,1318.863759845431,1723.5694592146288,2040,low
174,7,6,1424.5941458030766,1945.5356417663513,2040,low
175,7,7,1449.280827447832,2208.719180900174,2040,low
176,7,8,1338.512230081322,2558.9787534911607,2040,low
177,7,9,1300.6785325269661,2086.87247203531,2040,low
178,7,10,1221.9239165659587,2042.5238014007243,2040,low
179,7,11,1190.6581843795946,2010.8244035497853,2040,low
180,7,12,1205.9501813840582,1963.0352916089473,2040,low
181,7,13,1249.3541786808873,1986.4126285463497,2040,low
182,7,14,1365.4325742098756,1851.6044003011534,2040,low
183,7,15,1475.8575311942627,1894.4996415540995,2040,low
184,7,16,1735.777139575673,1789.167054919759,2040,low
185,7,17,1560.6923648841203,1756.112171558934,2040,low
186,7,18,1592.9723904564269,1917.109969886428,2040,low
187,7,19,1529.3989197637138,1809.2439988313577,2040,low
188,7,20,1503.8863926845027,1869.2634015883639,2040,low
189,7,21,1398.0894956851557,1825.439039822404,2040,low
190,7,22,1283.2360118408315,1653.360792706092,2040,low
191,7,23,1233.9125318325966,1693.710785824189,2040,low
0,0,0,542.6227464201485,982.5823360532875,2040,high
1,0,1,566.4931149288311,1051.3624818950443,2040,high
2,0,2,519.6486397970849,888.9854900505534,2040,high
3,0,3,449.74021271877825,765.8653886477917,2040,high
4,0,4,408.6085853518477,333.35095909946403,2040,high
5,0,5,376.16017979852717,1165.162690974714,2040,high
6,0,6,343.6778083302262,1495.2915706084923,2040,high
7,0,7,306.0161826647093,2271.7960412323805,2040,high
8,0,8,279.8613324549064,2459.8200214881713,2040,high
9,0,9,269.68141903279263,3401.0007927375223,2040,high
10,0,10,257.3989059059068,2135.9465383576726,2040,high
11,0,11,231.5628970270517,2019.242987046339,2040,high
12,0,12,164.04304074416066,1622.2669370068643,2040,high
13,0,13,214.55145199511338,1699.3776468734563,2040,high
14,0,14,245.7003873817535,1556.158551917494,2040,high
15,0,15,293.1146133454336,1386.5458450315912,2040,high
16,0,16,322.49512980372464,1437.5033951350795,2040,high
17,0,17,362.82362763256356,1774.3459023245232,2040,high
18,0,18,494.9718547262802,1848.688221264584,2040,high
19,0,19,850.0230423927457,1927.9416172377305,2040,high
20,0,20,604.3421009640801,1334.9091348078023,2040,high
21,0,21,472.35493804785244,1106.4954833988345,2040,high
22,0,22,392.43314009830493,1225.7411740602554,2040,high
23,0,23,427.67442040277894,1276.7489218057567,2040,high
24,1,0,1589.8444976590974,2199.7281718955683,2040,high
25,1,1,1821.4886931362385,2575.6676827563333,2040,high
26,1,2,1769.8460279264486,2371.4741763854677,2040,high
27,1,3,1923.3886294276413,2022.9493498703623,2040,high
28,1,4,1986.1301907779357,1219.3043605289965,2040,high
29,1,5,2092.7058322519347,2710.0388516055395,2040,high
30,1,6,2235.485390734605,3234.9506958591496,2040,high
31,1,7,2148.667358702214,4794.853137114403,2040,high
32,1,8,2205.9670499353906,5129.218477147548,2040,high
33,1,9,2127.162263485293,6192.466646164905,2040,high
34,1,10,2043.5768177519806,4589.170020474133,2040,high
35,1,11,1968.1358102267347,4338.737489569158,2040,high
36,1,12,2025.4302537548813,3477.384316991883,2040,high
37,1,13,2108.5381583303756,3741.291336656671,2040,high
38,1,14,2270.025785248459,3602.8815243864897,2040,high
39,1,15,2574.1460349083463,3109.544949377786,2040,high
40,1,16,2338.3718955718314,3346.3840389124102,2040,high
41,1,17,2172.7858110245593,3995.3540520464417,2040,high
42,1,18,2065.632921997153,4163.600798618062,2040,high
43,1,19,2004.7647913429157,3855.6144978247426,2040,high
44,1,20,1946.1846600821812,2907.355130410412,2040,high
45,1,21,1906.139422990838,2463.014466826637,2040,high
46,1,22,1855.4151061614689,2814.183841389309,2040,high
47,1,23,1884.6815571191962,2997.9472991371917,2040,high
48,2,0,1253.1359997568782,1471.8946323010707,2040,high
49,2,1,974.2056390223829,1790.770404271412,2040,high
50,2,2,886.9109706089026,1562.4466721984584,2040,high
51,2,3,852.8457648333706,1367.0328178119612,2040,high
52,2,4,815.7429521439624,766.616028750352,2040,high
53,2,5,795.4080046712754,1860.9164287413778,2040,high
54,2,6,754.8171872120571,2203.518666266125,2040,high
55,2,7,717.5596577019085,3320.7781495057648,2040,high
56,2,8,698.3111661259783,3612.7272294486406,2040,high
57,2,9,681.4332800589527,4932.595429707613,2040,high
58,2,10,634.3065364613327,3086.592906160771,2040,high
59,2,11,553.0836437240323,2933.5459714208173,2040,high
60,2,12,356.47638422988297,2289.169973979046,2040,high
61,2,13,600.2980601867388,2501.4681872883125,2040,high
62,2,14,659.6972858206691,2393.1386319116023,2040,high
63,2,15,733.1069791105638,2066.716685624569,2040,high
64,2,16,775.4460966441519,2136.533121460862,2040,high
65,2,17,834.9725338862465,2607.9957543275727,2040,high
66,2,18,869.2818484233918,2699.965151158855,2040,high
