,year,scenario_price,period,weight,hour,Load Profile,price
3371,2025,low,1,12.142857142857142,11,1758.4587596662604,1060.7253560378408
3372,2025,low,1,12.142857142857142,12,1802.3809703729837,964.9644096276912
3373,2025,low,1,12.142857142857142,13,1899.1512952750536,1035.7378323210974
3374,2025,low,1,12.142857142857142,14,1971.4964734214336,1051.2519577771627
3375,2025,low,1,12.142857142857142,15,2039.3210389482515,1055.3083043328343
3376,2025,low,1,12.142857142857142,16,1828.0823445008637,1027.8183792590285
3377,2025,low,1,12.142857142857142,17,1689.788501302449,1065.6406191770304
3378,2025,low,1,12.142857142857142,18,1621.9178070754313,1012.6537505518432
3379,2025,low,1,12.142857142857142,19,1579.6101008756941,893.3453477865945
3380,2025,low,1,12.142857142857142,20,1467.0714486220593,784.324286251549
3381,2025,low,1,12.142857142857142,21,1366.149540702025,765.1783850239948
3382,2025,low,1,12.142857142857142,22,1349.0357929279721,744.1035159444702
3383,2025,low,1,12.142857142857142,23,1326.401977363366,741.7956334043835
3384,2025,low,1,12.142857142857142,24,1275.6834714939007,703.5991321375511
3385,2025,low,1,12.142857142857142,25,1261.1068022308257,689.9043540396223
3386,2025,low,1,12.142857142857142,26,1149.952010983179,518.3452627080011
3387,2025,low,1,12.142857142857142,27,1121.1907664087255,503.9907489177989
3388,2025,low,1,12.142857142857142,28,1253.6723933819897,649.8516901365192
3389,2025,low,1,12.142857142857142,29,1286.047052805412,813.1130654353556
3390,2025,low,1,12.142857142857142,30,1302.3689245593719,1104.7164716592729
3391,2025,low,1,12.142857142857142,31,1353.6717272980322,1395.8778328421013
3392,2025,low,1,12.142857142857142,32,1474.9671444728917,1368.759532167194
3393,2025,low,1,12.142857142857142,33,1503.759141514145,1325.4582310064284
3394,2025,low,1,12.142857142857142,34,1421.4040354244512,1230.1164589678453
3395,2025,low,1,12.142857142857142,35,1401.73014478932,1150.3564557565417
3396,2025,low,1,12.142857142857142,36,1513.4384804393617,1082.315114635442
3397,2025,low,1,12.142857142857142,37,1564.379941693125,1116.229998898408
3398,2025,low,1,12.142857142857142,38,1616.7437045363758,1136.707565077947
3399,2025,low,1,12.142857142857142,39,1643.3599645515476,1156.4531810373712
3400,2025,low,1,12.142857142857142,40,1610.0473548907332,1111.5140904504847
3401,2025,low,1,12.142857142857142,41,1538.7016319153447,1172.819474918007
3402,2025,low,1,12.142857142857142,42,1486.83759665759,1099.037032440421
3403,2025,low,1,12.142857142857142,43,1416.0838586680966,999.4921402394989
3404,2025,low,1,12.142857142857142,44,1358.338414134892,827.880209018646
3405,2025,low,1,12.142857142857142,45,1316.922529472347,794.4881080149803
3406,2025,low,1,12.142857142857142,46,1232.0918498052745,781.3933919106371
3407,2025,low,1,12.142857142857142,47,1080.5283171827743,786.1751469222094
3408,2025,low,1,12.142857142857142,48,1100.2944652183046,747.1051781662208
3409,2025,low,1,12.142857142857142,49,1048.122905292552,721.232322354193
3410,2025,low,1,12.142857142857142,50,952.2597781610746,582.4695304745496
3411,2025,low,1,12.142857142857142,51,1193.128474370009,589.9923143647239
3412,2025,low,1,12.142857142857142,52,1206.8133220958912,707.0491552468758
3413,2025,low,1,12.142857142857142,53,1269.2485178160562,863.827944058345
3414,2025,low,1,12.142857142857142,54,1323.134527765894,1208.3729709719255
3415,2025,low,1,12.142857142857142,55,1372.1539598446732,1633.185758939429
3416,2025,low,1,12.142857142857142,56,1437.1569865426159,1446.877726014707
3417,2025,low,1,12.142857142857142,57,1456.185075374953,1343.3170391636581
3418,2025,low,1,12.142857142857142,58,1547.9581244220658,1291.192516294909
3419,2025,low,1,12.142857142857142,59,1545.0443281927908,1221.1051076370877
3420,2025,low,1,12.142857142857142,60,1575.1202407229327,1166.4144323362536
3421,2025,low,1,12.142857142857142,61,1629.0754437230698,1192.4807651493516
3422,2025,low,1,12.142857142857142,62,1672.128897242701,1200.4857438462966
3423,2025,low,1,12.142857142857142,63,1782.6378866875532,1215.816399131825
3424,2025,low,1,12.142857142857142,64,1858.5503509827024,1184.7472002949262
3425,2025,low,1,12.142857142857142,65,1808.5622161997305,1240.2230160194526
3426,2025,low,1,12.142857142857142,66,1720.8331165367829,1178.237020118805
3427,2025,low,1,12.142857142857142,67,1714.6595588267355,1076.7252879624664
3428,2025,low,1,12.142857142857142,68,1697.9686574711793,873.9081891877053
3429,2025,low,1,12.142857142857142,69,1649.3028787605963,848.9208726961342
3430,2025,low,1,12.142857142857142,70,1602.4361193577988,824.7819604742227
3431,2025,low,1,12.142857142857142,71,1508.9101797031008,842.7401931393074
3432,2025,low,1,12.142857142857142,72,1431.575413818464,711.3622307696999
3433,2025,low,1,12.142857142857142,73,1409.1568655214562,714.1629972830681
3434,2025,low,1,12.142857142857142,74,1449.1504485945131,635.5725884085509
3435,2025,low,1,12.142857142857142,75,1528.9146593563291,598.5151732119134
3436,2025,low,1,12.142857142857142,76,1693.9708367872138,697.7400172755928
3437,2025,low,1,12.142857142857142,77,1812.9213783685932,791.6711585151207
3438,2025,low,1,12.142857142857142,78,1910.1683665060593,897.0521853213493
3439,2025,low,1,12.142857142857142,79,2018.8245198262277,1144.2354103141656
3440,2025,low,1,12.142857142857142,80,2098.6886761051423,1125.6399867945415
3441,2025,low,1,12.142857142857142,81,2047.1244773986853,1121.398209003101
3442,2025,low,1,12.142857142857142,82,1954.8824532328758,1092.8413027382983
3443,2025,low,1,12.142857142857142,83,1878.0166624669353,1070.7437927185986
3444,2025,low,1,12.142857142857142,84,1939.4216505493087,994.7849293050344
3445,2025,low,1,12.142857142857142,85,2131.017206828365,991.4516345052713
3446,2025,low,1,12.142857142857142,86,2387.992507523662,980.0194545956377
3447,2025,low,1,12.142857142857142,87,2254.357663045408,1021.7593738807152
3448,2025,low,1,12.142857142857142,88,2170.857027567424,975.1246987901583
3449,2025,low,1,12.142857142857142,89,2232.361961166897,1040.711024315333
3450,2025,low,1,12.142857142857142,90,2116.6634929495885,1045.5686998482024
3451,2025,low,1,12.142857142857142,91,1927.466629080911,952.7683339267809
3452,2025,low,1,12.142857142857142,92,1771.5131818227487,834.4260809126255
3453,2025,low,1,12.142857142857142,93,1666.3320572509508,797.7237993278878
3454,2025,low,1,12.142857142857142,94,1567.6166388237973,772.629231652839
3455,2025,low,1,12.142857142857142,95,1585.5607032014434,749.9444927138708
3456,2025,low,1,12.142857142857142,96,1524.3325418031684,678.9215582639392
3457,2025,low,1,12.142857142857142,97,1461.4668115478073,693.9298631751594
3458,2025,low,1,12.142857142857142,98,1442.9999552345657,605.8645365911824
3459,2025,low,1,12.142857142857142,99,1480.9715636155402,539.9549836717102
3460,2025,low,1,12.142857142857142,100,1560.5743239266576,659.3382989750332
3461,2025,low,1,12.142857142857142,101,1637.3862978756988,753.6362313996469
3462,2025,low,1,12.142857142857142,102,1820.9708365534248,809.8138907331368
3463,2025,low,1,12.142857142857142,103,1920.4704428839714,911.7886317671047
3464,2025,low,1,12.142857142857142,104,2032.2479715843126,927.9448451122613
3465,2025,low,1,12.142857142857142,105,2086.5722041860467,1008.397154046025
3466,2025,low,1,12.142857142857142,106,2066.775303683716,946.8107141600005
3467,2025,low,1,12.142857142857142,107,1987.3954987568975,931.9948084175193
3468,2025,low,1,12.142857142857142,108,2057.242038975798,906.1180363034761
3469,2025,low,1,12.142857142857142,109,2194.836263554518,877.7204019683451
3470,2025,low,1,12.142857142857142,110,2278.506037599901,867.9083243204017
3471,2025,low,1,12.142857142857142,111,2579.972469637715,889.026333820844
3472,2025,low,1,12.142857142857142,112,2325.2344109020996,871.7363546407511
3473,2025,low,1,12.142857142857142,113,2213.1954862339608,923.8759458091051
3474,2025,low,1,12.142857142857142,114,2026.1974237414645,937.0782115011746
3475,2025,low,1,12.142857142857142,115,1948.0861580701344,901.4641494808036
3476,2025,low,1,12.142857142857142,116,1840.0143016191614,804.7887330092603
3477,2025,low,1,12.142857142857142,117,1706.3102640906081,775.9101464110228
3478,2025,low,1,12.142857142857142,118,1596.5316457322494,728.0495532740591
3479,2025,low,1,12.142857142857142,119,1534.2271479959838,717.2373702812014
3480,2025,low,1,12.142857142857142,120,1492.549867365641,612.6814934355737
3481,2025,low,1,12.142857142857142,121,1374.6910383556515,655.3338636706964
3482,2025,low,1,12.142857142857142,122,1344.6151258255095,551.2042445990083
3483,2025,low,1,12.142857142857142,123,1380.1188487458053,487.40300937358137
3484,2025,low,1,12.142857142857142,124,1599.92979331362,571.5169110745447
3485,2025,low,1,12.142857142857142,125,1735.3944095664579,700.4948903643254
3486,2025,low,1,12.142857142857142,126,1831.6188781828328,738.7410978374933
3487,2025,low,1,12.142857142857142,127,1851.169758950765,821.6763299847715
3488,2025,low,1,12.142857142857142,128,2011.0518338425939,846.9772140865244
3489,2025,low,1,12.142857142857142,129,2001.4955047845763,886.061599540056
3490,2025,low,1,12.142857142857142,130,1963.3009410193035,860.0458497841203
3491,2025,low,1,12.142857142857142,131,1993.1538981651477,852.9380375544722
3492,2025,low,1,12.142857142857142,132,2074.601806484249,840.2142817442514
3493,2025,low,1,12.142857142857142,133,2108.7677970987565,816.371420261816
3494,2025,low,1,12.142857142857142,134,2156.595571089046,788.4677966435894
3495,2025,low,1,12.142857142857142,135,2142.510941294767,819.0885370702106
3496,2025,low,1,12.142857142857142,136,1932.8559988875647,800.4414460022065
3497,2025,low,1,12.142857142857142,137,1864.5470820086505,831.8605068732938
3498,2025,low,1,12.142857142857142,138,1742.8903233488936,856.9826593252603
3499,2025,low,1,12.142857142857142,139,1684.798913564192,837.2055604335229
3500,2025,low,1,12.142857142857142,140,1555.5462956049007,758.2703234279431
3501,2025,low,1,12.142857142857142,141,1392.9656917513948,731.4933212665611
3502,2025,low,1,12.142857142857142,142,1330.7457632988287,684.5651231991714
3503,2025,low,1,12.142857142857142,143,1292.5358233001562,641.2099073079598
3504,2025,low,1,12.142857142857142,144,1243.7931634225745,672.1172700593446
3505,2025,low,1,12.142857142857142,145,1220.3367193710756,668.2908537808783
3506,2025,low,1,12.142857142857142,146,1175.6380088776586,528.2762399854731
3507,2025,low,1,12.142857142857142,147,1309.6495710742095,471.37722838854546
3508,2025,low,1,12.142857142857142,148,1425.6017471426148,624.1664492829815
3509,2025,low,1,12.142857142857142,149,1551.1102522690387,761.4868229525039
3510,2025,low,1,12.142857142857142,150,1657.3138963619276,919.494745791273
3511,2025,low,1,12.142857142857142,151,1710.2004511407742,1253.6875351172325
3512,2025,low,1,12.142857142857142,152,1729.513000291009,1267.7328390926903
3513,2025,low,1,12.142857142857142,153,1724.8924421543484,1261.8311748283095
3514,2025,low,1,12.142857142857142,154,1789.6955778180925,1085.9431323726599
3515,2025,low,1,12.142857142857142,155,1905.8707092707962,1031.7286463700686
3516,2025,low,1,12.142857142857142,156,1794.400705238452,956.2123576866641
3517,2025,low,1,12.142857142857142,157,1915.8806372141105,968.7777065535331
3518,2025,low,1,12.142857142857142,158,1979.7304464070626,959.9126842680118
3519,2025,low,1,12.142857142857142,159,1884.320918160881,985.9642230030752
3520,2025,low,1,12.142857142857142,160,1845.0807705244176,942.1719444405763
